student_id,major,gpa,taken_subjects,interests
SV10000,Kỹ thuật điện tử - Viễn thông,8.2,"Kỹ năng mềm, Mạng viễn thông, Tư duy logic và giải quyết vấn đề, Tư tưởng Hồ Chí Minh, Giải tích, Tiếng Anh chuyên ngành, Giáo dục thể chất, Anten và sóng điện từ, Điện tử năng lượng, Truyền thông vô tuyến, Xác suất thống kê, Giáo dục quốc phòng - An ninh, Kỹ thuật radar","Internet of Things, Cloud Computing, DevOps"
SV10001,Blockchain và Tiền mã hóa,7.6,"Cơ sở dữ liệu, An toàn thông tin, Lập trình web nâng cao, Phát triển ứng dụng di động, Triết học Mác-Lênin, Tư duy logic và giải quyết vấn đề, Học sâu, Giáo dục quốc phòng - An ninh, Xác suất thống kê, Phân tích và thiết kế hệ thống, Thiết kế giao diện người dùng, Lập trình C/C++, Hệ điều hành, Blockchain cơ bản, Big Data và Hadoop, Machine Learning với TensorFlow, Internet of Things, An ninh mạng cơ bản, Lập trình Python, Tư tưởng Hồ Chí Minh","Cloud Computing, Big Data"
SV10002,Kiến trúc,8.3,"Cầu và đường, Xác suất thống kê, Quản lý dự án xây dựng, Triết học Mác-Lênin, Thiết kế đô thị, Cơ sở hạ tầng đô thị, Kết cấu bê tông cốt thép, Tiếng Anh chuyên ngành, Tư tưởng Hồ Chí Minh, Tin học cơ bản, Kỹ năng mềm, Giáo dục quốc phòng - An ninh, Kết cấu thép, Vật liệu xây dựng, Toán cao cấp, Giải tích, Thiết kế kiến trúc nội thất, Kỹ thuật xây dựng, Công trình ngầm, Tư duy logic và giải quyết vấn đề","Lập trình, Game Development, Phân tích dữ liệu, Phát triển ứng dụng di động, Big Data"
SV10003,Kỹ thuật máy tính,9.2,"Hệ thống điều khiển tự động, Mạng không dây, Đo lường điện tử, Kỹ năng mềm, Truyền thông quang, Điện tử cơ bản, Tư duy logic và giải quyết vấn đề, Điện tử viễn thông, Điện tử số, Tư tưởng Hồ Chí Minh, Kỹ thuật radar, Giáo dục quốc phòng - An ninh, Xử lý tín hiệu số, Điện tử công suất, Triết học Mác-Lênin, Hệ thống điện tử nhúng, Giải tích, Tiếng Anh chuyên ngành, Toán cao cấp","DevOps, Phát triển ứng dụng di động, Game Development"
SV10004,Sư phạm Tin học,7.5,"Môn tự chọn 1, Phần mềm giáo dục, Môn tự chọn 4, Đánh giá học tập Tin học, An toàn mạng trong trường học, Môn tự chọn 13, Tin học cơ bản, Lập trình Python cho giáo viên, Toán cao cấp, Lập trình Scratch cho học sinh, Công nghệ thông tin trong giáo dục, Thiết kế khóa học trực tuyến, Phát triển bài giảng Tin học, Môn tự chọn 3, Giáo dục thể chất, Môn tự chọn 5, Lập trình cơ bản cho giáo viên, Môn tự chọn 12, Tư duy logic và giải quyết vấn đề, Giải tích, Môn tự chọn 6, Giáo dục kỹ năng số, Xác suất thống kê, Tiếng Anh chuyên ngành, Môn tự chọn 9, Môn tự chọn 2, Tư tưởng Hồ Chí Minh, Phương pháp giảng dạy Tin học, Môn tự chọn 11, Môn tự chọn 10, Kỹ năng mềm, Môn tự chọn 7, Giáo dục quốc phòng - An ninh, Ứng dụng AI trong giảng dạy, Môn tự chọn 8, Môn tự chọn 14, Triết học Mác-Lênin, Dạy học Tin học phổ thông, Quản lý lớp học CNTT","Chơi nhạc cụ, Ẩm thực, Học ngoại ngữ, Thơ ca"
SV10005,Khoa học dữ liệu,7.5,"Machine Learning với TensorFlow, Thị giác máy tính, Phân tích và thiết kế hệ thống, Big Data và Hadoop, Quản lý dự án CNTT, An toàn thông tin, Hệ thống nhúng, Phát triển game, Lập trình C/C++, Giải tích, Internet of Things, Tư tưởng Hồ Chí Minh, Kiểm thử phần mềm, Toán cao cấp, Cơ sở dữ liệu, Lập trình Java, Kỹ thuật phần mềm nâng cao, An ninh mạng cơ bản, Lập trình Python, DevOps và CI/CD, Hệ điều hành, Phát triển ứng dụng web, Cấu trúc dữ liệu và Giải thuật, Giáo dục quốc phòng - An ninh, Phát triển ứng dụng di động, Tiếng Anh chuyên ngành, Thiết kế giao diện người dùng, Cloud Computing - AWS/Azure, Mật mã học, Cyber Security nâng cao","Blockchain, Big Data"
SV10006,Sư phạm Tin học,9.3,"Môn tự chọn 1, Tư duy logic và giải quyết vấn đề, Tiếng Anh chuyên ngành, Quản lý lớp học CNTT, Giáo dục thể chất, Ứng dụng AI trong giảng dạy, Môn tự chọn 5, Toán cao cấp, Giáo dục quốc phòng - An ninh, Lập trình Python cho giáo viên, Phương pháp giảng dạy Tin học, An toàn mạng trong trường học, Đánh giá học tập Tin học, Môn tự chọn 4, Xác suất thống kê, Lập trình Scratch cho học sinh, Tin học cơ bản, Phát triển bài giảng Tin học, Giải tích, Môn tự chọn 3, Dạy học Tin học phổ thông, Triết học Mác-Lênin, Kỹ năng mềm, Giáo dục kỹ năng số, Môn tự chọn 6, Thiết kế khóa học trực tuyến, Lập trình cơ bản cho giáo viên, Môn tự chọn 2, Công nghệ thông tin trong giáo dục, Tư tưởng Hồ Chí Minh, Phần mềm giáo dục","Làm video, Du lịch khám phá, Học ngoại ngữ"
SV10007,Kinh tế,8.5,"Kế toán quản trị, Môn tự chọn 3, Kinh tế vi mô, Ngân hàng thương mại, Triết học Mác-Lênin, Kinh tế lượng, Logistics, Kinh tế vĩ mô, Quản trị kinh doanh, Xác suất thống kê, Giáo dục thể chất, Kế toán tài chính, Môn tự chọn 5, Giải tích, Quản trị chiến lược, Quản trị nhân sự, Marketing số, Tư duy logic và giải quyết vấn đề, Tiếng Anh chuyên ngành, Tin học cơ bản, Kinh tế phát triển, Kinh tế quốc tế, Tư tưởng Hồ Chí Minh, Marketing cơ bản, Môn tự chọn 4, Giáo dục quốc phòng - An ninh, Toán cao cấp, Tài chính quốc tế, Thương mại điện tử, Môn tự chọn 2, Môn tự chọn 1, Tài chính doanh nghiệp, Chuỗi cung ứng, Kỹ năng mềm","Khởi nghiệp, Bán hàng, Marketing số, Fintech, Đầu tư"
SV10008,Khoa học máy tính,7.2,"Trí tuệ nhân tạo, Tiếng Anh chuyên ngành, Cloud Computing - AWS/Azure, Kỹ năng mềm, Phát triển ứng dụng di động, Xác suất thống kê, Lập trình C/C++, Lập trình web nâng cao, Lập trình Python, Học sâu, An toàn thông tin, Giáo dục thể chất, Hệ điều hành","Phân tích dữ liệu, Blockchain"
SV10009,Công nghệ sinh học,8.2,"Vật liệu sinh học, Môn tự chọn 4, Toán cao cấp, Môn tự chọn 13, Công nghệ gen, Môn tự chọn 15, Công nghệ sinh học ứng dụng, Tư tưởng Hồ Chí Minh, Môn tự chọn 16, Môn tự chọn 17, Hình ảnh y khoa, Kỹ thuật y sinh, Sinh học phân tử, Kỹ thuật mô sinh học, Giáo dục quốc phòng - An ninh, Môn tự chọn 14, Thiết bị y tế, Môn tự chọn 2, Kỹ năng mềm, Môn tự chọn 11, Xác suất thống kê, Công nghệ nano y sinh, Môn tự chọn 10, Tư duy logic và giải quyết vấn đề, Môn tự chọn 3, Môn tự chọn 6, Môn tự chọn 5, Triết học Mác-Lênin, Tiếng Anh chuyên ngành, Kỹ thuật tế bào, Môn tự chọn 1, Môn tự chọn 12, Môn tự chọn 8, Môn tự chọn 9, Giải tích, Môn tự chọn 7, Giáo dục thể chất, Tin học cơ bản","Machine Learning, Blockchain, Phát triển web, Internet of Things, Robot học"
