student_id,math_score,literature_score,english_score,physics_score,chemistry_score,biology_score,history_score,mbti_type,major_group,specific_major,major_rating
STU2292,6.9,7.1,9.3,5.9,5.6,6.2,7.8,ENFP,Du lịch & Dịch vụ,Quản trị khách sạn,4.9
STU1863,8.1,5.6,5.7,8.7,8.3,6.9,5.9,ISTP,"Kỹ thuật, Cơ khí & Ô tô",Robot và Trí tuệ nhân tạo,4.4
STU0903,6.8,8.2,9.2,5.9,5.9,6.9,7.8,ISFP,Ngôn ngữ & Văn hóa,Văn học,4.0
STU2356,5.5,7.7,8.5,5.9,6.0,5.6,7.9,ENFP,Du lịch & Dịch vụ,Du lịch,4.7
STU1286,5.3,7.5,6.0,5.8,5.5,5.4,8.2,ISFP,Nghệ thuật & Thiết kế,Thiết kế thời trang,4.4
STU0057,9.2,6.5,8.8,8.1,7.5,6.3,6.6,INTP,Công nghệ Thông tin & Kỹ thuật Máy tính,Khoa học dữ liệu,4.7
STU2124,9.4,6.9,5.4,9.5,7.2,5.3,5.1,ISTJ,Xây dựng & Quy hoạch,Kỹ thuật xây dựng,3.9
STU0803,6.7,9.9,8.0,5.8,5.8,6.0,9.5,ENFJ,Sư phạm & Giáo dục,Giáo dục Tiểu học,4.1
STU0813,7.2,9.9,8.6,5.2,5.3,6.0,9.3,INFJ,Sư phạm & Giáo dục,Sư phạm Tiếng Anh,4.7
STU0904,6.1,8.3,9.6,6.3,6.8,6.6,8.8,INFP,Ngôn ngữ & Văn hóa,Ngôn ngữ Nhật,4.0
STU0333,9.1,5.7,5.8,5.3,9.4,9.1,6.4,INFJ,Y tế & Sức khỏe,Quản lý bệnh viện,4.9
STU1522,6.2,9.0,8.2,6.5,6.3,5.3,9.5,INFJ,Luật & Xã hội,Tâm lý học,4.5
STU2398,6.8,8.0,8.7,6.2,5.3,6.9,7.8,ESTP,Du lịch & Dịch vụ,Quản trị khách sạn,4.7
STU2247,9.2,5.3,5.0,9.3,7.6,6.3,6.0,ESTJ,Xây dựng & Quy hoạch,Quản lý xây dựng,4.4
STU2026,7.4,6.9,5.4,6.3,8.2,9.5,6.0,ISFP,Nông nghiệp & Môi trường,Công nghệ thực phẩm,3.9
