student_id,math_score,literature_score,english_score,physics_score,chemistry_score,biology_score,history_score,mbti_type,major_group,specific_major,major_rating
SV10000,7.7,6.9,8.3,8.9,7.1,7.2,7.7,ENTP,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật điện tử - Viễn thông,4.1
SV10001,6.1,5.6,6.0,4.6,5.8,5.0,6.5,ENTP,Công nghệ Thông tin & Kỹ thuật Máy tính,Blockchain và Tiền mã hóa,3.8
SV10002,6.8,6.8,5.6,5.7,6.3,7.0,7.0,ESFP,Nghệ thuật & Thiết kế,Kiến trúc,4.15
SV10003,7.8,5.8,7.6,6.3,5.5,7.3,5.7,INTJ,Công nghệ Thông tin & Kỹ thuật Máy tính,Kỹ thuật máy tính,4.6
SV10004,9.9,8.9,7.7,9.2,8.6,8.7,9.2,ENTJ,Sư phạm & Giáo dục,Sư phạm Tin học,3.75
SV10005,8.5,7.2,8.4,8.8,7.7,8.5,8.5,ENTJ,Công nghệ Thông tin & Kỹ thuật Máy tính,Khoa học dữ liệu,3.75
SV10006,9.7,8.5,9.7,10.0,9.5,8.7,8.3,ENTP,Sư phạm & Giáo dục,Sư phạm Tin học,4.65
SV10007,7.6,5.8,6.5,7.0,9.1,6.8,6.8,ESFP,Kinh tế & Quản lý,Kinh tế,4.25
SV10008,7.8,6.3,8.0,6.2,6.6,5.9,6.9,INTJ,Công nghệ Thông tin & Kỹ thuật Máy tính,Khoa học máy tính,3.6
SV10009,7.7,6.1,7.6,5.8,5.6,7.3,7.6,INTJ,Nông nghiệp & Môi trường,Công nghệ sinh học,4.1
SV10010,5.7,7.3,4.9,5.7,4.7,6.9,6.0,ENTP,Nghệ thuật & Thiết kế,Âm nhạc học,3.6
SV10011,7.9,5.4,7.3,7.2,7.9,8.6,7.2,ESFP,Du lịch & Dịch vụ,Quản trị khách sạn,3.6
SV10012,5.6,6.4,4.1,5.0,6.8,6.1,5.3,ESFP,Y tế & Sức khỏe,Điều dưỡng,3.95
SV10013,6.2,6.4,7.5,6.1,7.7,7.5,9.3,ESFP,Kinh tế & Quản lý,Marketing,2.9
SV10014,7.6,5.5,7.1,7.0,8.8,6.4,6.6,ESFP,Y tế & Sức khỏe,Dược học,3.0
SV10015,6.3,5.7,5.8,6.9,6.2,8.5,8.2,ESFP,Sư phạm & Giáo dục,Sư phạm Toán,3.55
SV10016,7.1,7.5,7.7,7.8,7.5,6.9,7.3,ESFP,Kinh tế & Quản lý,Kinh tế số,3.35
SV10017,8.8,7.0,8.4,9.4,9.0,9.4,8.5,INTP,Truyền thông & Báo chí,Truyền thông đa phương tiện,4.0
SV10018,6.0,7.8,6.0,5.3,6.8,6.2,7.1,ESFP,Kinh tế & Quản lý,Logistics và Quản lý chuỗi cung ứng,3.4
SV10019,8.5,7.7,7.8,7.0,9.1,7.7,7.7,ESFP,Công nghệ Thông tin & Kỹ thuật Máy tính,An ninh mạng,3.15
SV10020,9.6,7.2,8.1,9.7,9.6,8.6,7.8,ESFP,Công nghệ Thông tin & Kỹ thuật Máy tính,Hệ thống thông tin,4.6
SV10021,5.5,6.4,6.2,5.4,6.8,5.4,7.6,ESFP,Sư phạm & Giáo dục,Sư phạm Ngữ văn,3.75
SV10022,8.3,8.3,8.2,9.4,8.1,6.9,7.9,ENTJ,Công nghệ Thông tin & Kỹ thuật Máy tính,Kỹ thuật phần mềm,3.9
SV10023,6.4,6.5,6.8,6.9,8.0,7.4,9.3,ESFP,Công nghệ Thông tin & Kỹ thuật Máy tính,Kỹ thuật máy tính,3.15
SV10024,8.4,8.5,8.1,7.7,8.5,9.1,7.7,ENTP,Công nghệ Thông tin & Kỹ thuật Máy tính,Khoa học dữ liệu,3.6
