student_id,math_score,literature_score,english_score,physics_score,chemistry_score,biology_score,history_score,mbti_type,major_group,specific_major,major_rating
STU1296,9.2,5.2,5.7,6.0,9.7,9.0,6.3,ISFJ,Y tế & Sức khỏe,Dược học,3.9
STU4801,5.2,8.3,7.9,7.3,4.6,6.1,8.7,ISTJ,Luật & Xã hội,Luật quốc tế,5.0
STU3525,6.6,9.0,8.4,5.3,6.0,4.9,7.7,ENFP,Truyền thông & Báo chí,Truyền thông đại chúng,4.7
STU4225,6.6,8.4,6.7,4.4,6.0,6.9,7.6,INFP,Nghệ thuật & Thiết kế,Điêu khắc,4.4
STU6873,8.9,5.7,6.1,8.9,8.2,6.8,6.6,ESTJ,Xây dựng & Quy hoạch,Quản lý xây dựng,3.8
STU0707,8.9,6.8,6.4,6.4,8.9,9.7,7.8,ISFJ,Y tế & Sức khỏe,Y học dự phòng,3.5
STU3622,5.9,4.4,4.4,6.2,7.3,4.7,6.9,ISFJ,Truyền thông & Báo chí,Công nghệ truyền thông,2.5
STU3166,5.7,9.6,10.0,6.3,6.6,5.4,7.4,INTP,Ngôn ngữ & Văn hóa,Ngôn ngữ học,4.8
STU2803,5.7,7.4,9.1,5.9,6.4,6.7,8.6,ISFP,Ngôn ngữ & Văn hóa,Quốc tế học,4.1
STU3880,6.0,8.2,8.8,6.4,5.9,5.6,7.6,ENTP,Truyền thông & Báo chí,Quan hệ công chúng,4.0
STU2967,6.1,8.2,9.6,6.1,4.9,6.2,7.7,INTP,Ngôn ngữ & Văn hóa,Ngôn ngữ học,3.6
STU3806,5.8,8.8,9.5,5.8,6.2,6.1,7.8,ENTP,Truyền thông & Báo chí,Thông tin - thư viện,4.8
STU5559,8.9,6.2,5.5,8.7,8.9,5.1,6.9,ISTP,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật cơ khí,3.8
STU2349,7.7,9.9,8.7,4.9,5.8,5.6,8.2,ISFJ,Sư phạm & Giáo dục,Sư phạm Tiếng Anh,4.5
STU0941,7.9,5.3,6.4,6.1,9.2,9.9,5.9,ISTJ,Y tế & Sức khỏe,Kỹ thuật hình ảnh y học,4.1
STU0801,9.9,5.4,5.4,6.9,8.4,9.1,6.4,ISFP,Y tế & Sức khỏe,Kỹ thuật phục hồi chức năng,3.8
STU2579,6.9,9.9,8.3,5.0,5.0,5.5,10.0,ISFJ,Sư phạm & Giáo dục,Tâm lý học giáo dục,4.4
STU3972,5.2,7.9,8.4,6.3,5.0,4.5,9.0,ENTP,Truyền thông & Báo chí,Thông tin - thư viện,5.0
STU5670,9.4,7.7,6.7,7.5,7.7,6.3,6.3,ISTP,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật điện tử - viễn thông,4.4
STU5719,8.9,5.0,6.2,9.8,7.7,7.2,6.4,ESTP,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật điều khiển và tự động hóa,4.7
STU2647,6.2,9.7,9.2,5.9,5.4,6.0,9.2,ESFJ,Sư phạm & Giáo dục,Sư phạm Tiếng Anh,5.1
STU2765,5.6,8.6,9.9,6.7,7.3,5.3,6.7,INFP,Ngôn ngữ & Văn hóa,Tiếng Việt và văn hoá Việt Nam,4.0
STU3928,7.2,9.4,8.4,7.1,6.6,6.5,8.3,ESFP,Truyền thông & Báo chí,Quan hệ công chúng,4.5
STU4035,5.6,8.2,5.3,5.7,5.1,7.6,8.2,ISFP,Nghệ thuật & Thiết kế,Điêu khắc,3.7
STU4025,6.4,8.2,5.5,5.4,6.5,5.0,7.8,INFP,Nghệ thuật & Thiết kế,Điêu khắc,4.4
STU5551,9.4,5.9,7.0,8.6,7.5,5.7,5.1,ISTP,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật điện,4.8
STU6514,6.6,6.1,7.4,5.4,10.0,9.3,6.6,INFP,Nông nghiệp & Môi trường,Nuôi trồng thủy sản,4.6
STU7338,6.5,7.4,9.1,7.4,6.3,6.5,8.3,ESTP,Du lịch & Dịch vụ,Quản trị dịch vụ du lịch và lữ hành,4.6
STU3197,6.6,8.9,8.9,6.0,5.3,6.1,6.3,ISFP,Ngôn ngữ & Văn hóa,Ngôn ngữ Nhật,3.3
STU1431,8.9,8.1,8.3,6.3,4.9,7.3,6.5,ESTJ,Kinh tế & Quản lý,Kinh tế,4.2
STU3160,7.0,8.7,9.5,6.9,4.3,6.8,8.3,ISFP,Ngôn ngữ & Văn hóa,Ngôn ngữ học,4.6
STU4914,5.6,9.1,7.3,5.8,6.8,5.8,9.6,INFJ,Luật & Xã hội,Chính trị học,3.8
STU0857,9.9,6.1,5.0,6.4,8.6,7.8,7.1,INFJ,Y tế & Sức khỏe,Kỹ thuật phục hồi chức năng,4.7
STU4528,6.5,8.1,5.3,4.8,7.2,7.1,7.5,ISFP,Nghệ thuật & Thiết kế,Thiết kế nội thất,4.6
STU1759,8.8,8.1,8.4,6.2,5.7,6.2,7.2,ENTP,Kinh tế & Quản lý,Tài chính - Ngân hàng,4.7
STU7734,6.5,8.5,7.7,5.7,5.4,6.1,7.9,ENFP,Du lịch & Dịch vụ,Quản trị nhà hàng và dịch vụ ăn uống,5.0
STU1321,9.7,6.0,4.9,7.0,9.8,9.2,6.1,ISTJ,Y tế & Sức khỏe,Y học cổ truyền,5.1
STU2252,6.6,8.6,9.3,6.5,6.2,7.0,9.4,ISFJ,Sư phạm & Giáo dục,Tâm lý học giáo dục,5.7
STU1633,9.3,7.3,9.8,6.2,5.8,5.4,6.5,ENTP,Kinh tế & Quản lý,Kế toán,4.1
STU7991,5.9,7.5,8.2,6.4,5.9,6.1,9.1,ESTP,Du lịch & Dịch vụ,Quản trị khách sạn,4.5
STU2988,5.5,8.3,9.2,5.9,7.2,5.3,9.3,INTP,Ngôn ngữ & Văn hóa,Đông phương học,4.8
STU1085,10.0,5.7,5.5,5.7,10.0,9.7,6.8,INFJ,Y tế & Sức khỏe,Y đa khoa,4.3
STU2099,6.7,8.4,9.6,5.9,7.2,5.2,8.6,INFJ,Sư phạm & Giáo dục,Giáo dục Mầm non,3.7
STU7691,5.5,7.7,8.0,5.4,6.2,5.2,8.1,ESTP,Du lịch & Dịch vụ,Quản trị dịch vụ du lịch và lữ hành,3.3
STU2167,6.0,9.7,8.2,6.0,6.1,6.6,9.0,INFJ,Sư phạm & Giáo dục,Sư phạm Ngữ văn,4.2
STU2406,5.8,10.0,9.0,5.5,5.4,6.0,9.9,ESFJ,Sư phạm & Giáo dục,Sư phạm Ngữ văn,4.2
STU6044,8.0,7.2,7.4,5.6,8.4,9.5,6.5,ISFJ,Nông nghiệp & Môi trường,Thú y,3.8
STU4560,7.0,9.0,5.2,5.3,6.8,5.7,8.5,INFJ,Nghệ thuật & Thiết kế,Thiết kế nội thất,4.9
STU5134,6.2,9.4,7.9,5.6,6.6,6.1,9.2,INTJ,Luật & Xã hội,Luật kinh tế,4.8
STU0933,8.6,6.7,6.3,4.7,9.7,7.7,5.7,ISFJ,Y tế & Sức khỏe,Răng - Hàm - Mặt,4.2
STU4891,5.3,10.0,8.5,6.0,6.1,4.5,8.9,ISTJ,Luật & Xã hội,Luật kinh tế,3.2
STU6224,7.5,5.7,5.4,5.8,8.9,9.0,6.8,ISTJ,Nông nghiệp & Môi trường,Nông nghiệp,5.3
STU2407,7.1,9.7,9.8,4.7,7.1,7.3,9.2,INFJ,Sư phạm & Giáo dục,Sư phạm Ngữ văn,5.2
STU6992,8.4,6.1,4.2,8.9,8.8,5.4,6.1,ISTJ,Xây dựng & Quy hoạch,Quản lý xây dựng,4.4
STU4964,4.7,10.0,7.1,7.1,5.5,5.4,9.0,ISTJ,Luật & Xã hội,Công tác xã hội,4.9
STU6933,9.8,6.0,5.5,8.1,6.5,5.9,5.7,ESTJ,Xây dựng & Quy hoạch,Địa kỹ thuật xây dựng,4.4
STU0430,9.2,6.1,7.8,9.7,8.4,5.6,5.2,ISTJ,Công nghệ Thông tin & Kỹ thuật Máy tính,An toàn thông tin,4.9
STU7035,8.3,6.5,6.1,8.8,7.5,6.1,6.2,ISTJ,Xây dựng & Quy hoạch,Kỹ thuật cấp thoát nước,5.0
STU3881,7.3,9.2,8.7,4.9,6.0,6.1,7.1,ENFP,Truyền thông & Báo chí,Thông tin - thư viện,4.8
STU7323,9.3,5.2,5.8,8.0,6.4,4.1,4.6,ISTJ,Xây dựng & Quy hoạch,Kỹ thuật cấp thoát nước,5.2
STU3406,6.5,8.4,8.5,6.9,6.5,4.2,8.0,ENFP,Truyền thông & Báo chí,Truyền thông đại chúng,5.3
STU2459,6.5,8.6,8.0,5.5,6.8,7.0,9.7,ESFJ,Sư phạm & Giáo dục,Sư phạm Ngữ văn,4.5
STU7397,6.6,7.5,9.3,5.3,7.6,7.3,7.8,ENFP,Du lịch & Dịch vụ,Quản trị nhà hàng và dịch vụ ăn uống,4.4
STU6775,8.6,7.2,6.2,7.9,5.6,6.8,5.0,ISTJ,Xây dựng & Quy hoạch,Địa kỹ thuật xây dựng,3.9
STU1946,7.5,8.0,9.1,5.0,6.6,5.0,5.8,ENTJ,Kinh tế & Quản lý,Quản trị kinh doanh,4.0
STU3056,5.5,7.9,9.0,6.1,6.6,5.4,7.2,ISFP,Ngôn ngữ & Văn hóa,Ngôn ngữ Anh,3.8
STU4620,4.7,7.8,5.3,6.9,6.1,4.2,8.5,ISFP,Nghệ thuật & Thiết kế,Đạo diễn Điện ảnh - Truyền hình,3.3
STU3033,6.0,8.5,9.4,6.7,6.1,5.7,7.6,ISFP,Ngôn ngữ & Văn hóa,Đông phương học,4.4
STU7424,6.8,6.0,9.3,6.8,6.7,6.4,9.2,ENFP,Du lịch & Dịch vụ,Quản trị khách sạn,5.0
STU2338,5.9,8.5,9.4,7.3,7.1,6.1,10.0,ISFJ,Sư phạm & Giáo dục,Sư phạm Tiếng Anh,4.4
STU4424,5.7,7.3,5.9,5.4,5.8,4.8,7.9,INFP,Nghệ thuật & Thiết kế,Thiết kế công nghiệp,4.3
STU0264,9.6,5.9,9.9,9.9,9.3,6.8,5.0,ENTP,Công nghệ Thông tin & Kỹ thuật Máy tính,Thiết kế vi mạch,4.1
STU7934,5.9,6.6,8.2,6.1,5.8,6.4,7.4,ESFP,Du lịch & Dịch vụ,Quản trị nhà hàng và dịch vụ ăn uống,4.1
STU4353,5.2,6.2,5.2,6.3,4.1,5.1,6.3,INTJ,Nghệ thuật & Thiết kế,Thiết kế công nghiệp,2.2
STU3300,5.8,8.9,9.3,6.3,6.6,6.8,7.1,ISFP,Ngôn ngữ & Văn hóa,Ngôn ngữ Hàn Quốc,4.4
STU2313,7.4,9.5,9.2,5.3,7.0,6.6,9.3,ISFJ,Sư phạm & Giáo dục,Tâm lý học giáo dục,5.2
STU6179,8.6,5.7,6.1,5.7,9.0,8.6,6.9,INFP,Nông nghiệp & Môi trường,Lâm nghiệp đô thị,4.6
STU3908,6.0,10.0,8.5,7.1,6.5,4.1,8.8,ENFP,Truyền thông & Báo chí,Truyền thông đại chúng,4.7
STU3255,5.2,9.3,8.6,5.9,5.9,6.4,7.5,ISFP,Ngôn ngữ & Văn hóa,Ngôn ngữ Trung Quốc,3.5
STU5837,8.0,5.8,7.3,10.0,7.5,7.5,6.4,ESTP,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật cơ điện tử,3.8
STU1288,9.6,5.1,5.6,4.9,8.3,8.3,6.3,ISFP,Y tế & Sức khỏe,Răng - Hàm - Mặt,3.9
STU3283,5.3,8.4,8.9,5.1,6.5,4.3,8.4,ISFP,Ngôn ngữ & Văn hóa,Văn học,4.9
STU4208,5.8,9.3,6.9,5.9,6.3,6.6,6.0,INFJ,Nghệ thuật & Thiết kế,Đạo diễn Điện ảnh - Truyền hình,2.8
STU1128,9.0,7.3,4.9,6.5,8.7,8.2,4.5,ISTJ,Y tế & Sức khỏe,Răng - Hàm - Mặt,5.5
STU6919,8.9,6.7,5.5,8.8,6.4,6.0,5.3,ISTP,Xây dựng & Quy hoạch,Kỹ thuật xây dựng,5.0
STU3899,6.1,7.9,9.0,6.3,5.9,6.4,7.6,ESFP,Truyền thông & Báo chí,Truyền thông đa phương tiện,4.7
STU3215,6.4,9.9,9.5,5.4,5.1,4.5,8.1,ISFP,Ngôn ngữ & Văn hóa,Văn học,3.9
STU2760,5.5,7.2,9.7,6.9,6.9,6.0,9.1,INTP,Ngôn ngữ & Văn hóa,Đông phương học,5.1
STU3361,5.9,10.0,8.4,6.7,5.8,6.1,8.0,ENFP,Truyền thông & Báo chí,Quan hệ công chúng,6.0
STU1426,6.2,5.7,6.2,5.7,5.1,6.8,3.3,ISFP,Kinh tế & Quản lý,Marketing,2.7
STU3804,7.2,8.5,8.8,7.2,5.7,6.8,8.0,ENFP,Truyền thông & Báo chí,Thông tin - thư viện,4.5
STU7847,5.4,7.5,9.1,6.1,5.9,5.1,7.8,ESTP,Du lịch & Dịch vụ,Quản trị dịch vụ du lịch và lữ hành,5.1
STU1028,9.9,6.2,6.5,6.0,9.0,9.0,5.9,ISFP,Y tế & Sức khỏe,Y học dự phòng,4.2
STU4129,5.2,7.9,6.1,5.9,7.5,5.6,7.9,ISFP,Nghệ thuật & Thiết kế,Thiết kế đồ họa,4.3
STU3018,6.3,8.1,9.5,6.7,7.1,7.2,7.7,ISFP,Ngôn ngữ & Văn hóa,Ngôn ngữ học,4.7
STU1177,9.1,4.9,6.6,7.0,9.5,9.6,6.8,ISFJ,Y tế & Sức khỏe,Kỹ thuật phục hồi chức năng,3.5
STU3380,4.9,8.6,8.4,6.2,4.8,5.6,7.7,ENTP,Truyền thông & Báo chí,Thông tin - thư viện,4.1
STU5534,7.4,5.0,7.0,8.6,7.5,5.5,5.7,ISTP,"Kỹ thuật, Cơ khí & Ô tô",Công nghệ kỹ thuật ô tô,4.2
STU6599,8.2,5.8,6.0,6.5,8.2,9.2,6.4,ISTJ,Nông nghiệp & Môi trường,Công nghệ sau thu hoạch,4.7
STU7040,6.6,6.4,5.8,5.5,4.9,4.3,5.8,ISTJ,Xây dựng & Quy hoạch,Kỹ thuật cấp thoát nước,3.1
STU4607,5.5,9.3,5.6,5.2,6.9,5.4,6.9,INFJ,Nghệ thuật & Thiết kế,Thanh nhạc,5.0
STU6792,8.4,4.7,6.6,8.3,5.6,5.6,6.4,ESTJ,Xây dựng & Quy hoạch,Quản lý xây dựng,3.4
STU2749,5.3,8.1,9.0,6.8,5.7,5.1,7.9,ISFP,Ngôn ngữ & Văn hóa,Đông phương học,4.9
STU2771,6.3,8.1,9.2,5.3,5.8,5.5,9.1,INTP,Ngôn ngữ & Văn hóa,Ngôn ngữ Hàn Quốc,4.1
STU6740,9.6,6.3,6.2,8.8,7.8,5.1,6.2,ISTJ,Xây dựng & Quy hoạch,Kỹ thuật cấp thoát nước,4.6
STU3039,6.1,9.2,8.8,6.1,5.5,5.0,8.2,INTP,Ngôn ngữ & Văn hóa,Ngôn ngữ Anh,4.6
STU2590,6.3,9.7,10.0,5.0,5.5,6.1,9.3,INFJ,Sư phạm & Giáo dục,Sư phạm Ngữ văn,3.7
STU1075,9.7,7.4,6.8,6.8,9.3,10.0,6.6,INFJ,Y tế & Sức khỏe,Y học dự phòng,4.0
