student_id,math_score,literature_score,english_score,physics_score,chemistry_score,biology_score,history_score,mbti_type,major_group,specific_major,major_rating
STU2292,7.0,8.4,9.0,5.2,5.6,5.7,8.2,ESFP,Du lịch & Dịch vụ,Quản trị dịch vụ du lịch và lữ hành,4.5
STU1863,8.6,6.9,5.5,10.0,7.2,6.7,5.4,ESTP,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật cơ khí,4.9
STU0903,5.4,8.7,10.0,7.0,5.1,6.1,7.5,INTP,Ngôn ngữ & Văn hóa,Tiếng Việt và văn hoá Việt Nam,5.0
STU2356,6.0,8.0,9.0,6.2,6.2,6.8,8.2,ESFJ,Du lịch & Dịch vụ,Quản lý thể dục thể thao,4.9
STU1286,5.4,8.2,6.2,6.8,5.3,5.7,7.8,INFJ,Nghệ thuật & Thiết kế,Thiết kế nội thất,4.2
STU0057,5.0,6.1,5.9,6.6,6.6,6.6,5.1,ESTP,Công nghệ Thông tin & Kỹ thuật Máy tính,Khoa học dữ liệu,3.2
STU2124,9.5,5.6,6.5,8.9,6.2,6.2,6.5,ESTJ,Xây dựng & Quy hoạch,Kinh tế xây dựng,4.4
STU0803,6.6,9.9,7.7,5.2,5.9,5.0,8.2,ISFJ,Sư phạm & Giáo dục,Giáo dục Mầm non,5.0
STU0813,6.3,5.3,4.1,5.6,4.3,6.9,6.5,INFJ,Sư phạm & Giáo dục,Sư phạm Tiếng Anh,2.0
STU0904,5.2,9.1,9.1,6.1,5.7,6.8,7.7,INTP,Ngôn ngữ & Văn hóa,Ngôn ngữ Anh,4.1
STU0333,10.0,6.6,6.0,5.9,8.6,9.1,7.0,ISTJ,Y tế & Sức khỏe,Quản lý bệnh viện,4.4
STU1522,6.2,9.7,7.7,5.4,6.3,5.0,9.2,INTJ,Luật & Xã hội,Tâm lý học,3.8
STU2398,6.4,8.1,8.8,5.7,6.5,5.9,8.6,ESTP,Du lịch & Dịch vụ,Du lịch,4.8
STU2247,8.6,5.6,5.3,9.1,7.0,5.3,6.5,ISTP,Xây dựng & Quy hoạch,Kỹ thuật cấp thoát nước,4.7
STU2026,7.3,6.6,6.0,6.5,7.3,9.0,5.8,ISFP,Nông nghiệp & Môi trường,Lâm nghiệp đô thị,4.2
